<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.08	17:00:00	1736.75	1752.42	1736.70	1747.93	9157	0	0
2022.07.08	18:00:00	1747.92	1748.82	1742.35	1742.46	5285	0	0
2022.07.08	19:00:00	1742.46	1744.54	1740.54	1742.34	3567	0	0
2022.07.08	20:00:00	1742.29	1744.26	1741.71	1743.76	3004	0	0
2022.07.08	21:00:00	1743.77	1744.28	1741.71	1741.84	1481	0	0
2022.07.08	22:00:00	1741.86	1743.49	1741.14	1741.33	1878	0	2
2022.07.08	23:00:00	1741.34	1742.45	1741.12	1742.35	724	0	14
2022.07.11	01:00:00	1741.10	1744.57	1740.86	1743.75	1262	0	10
2022.07.11	02:00:00	1743.70	1744.20	1741.76	1741.99	1299	0	10
2022.07.11	03:00:00	1741.99	1742.96	1739.74	1741.55	2471	0	8
2022.07.11	04:00:00	1741.56	1741.84	1738.50	1739.87	5419	0	0
2022.07.11	05:00:00	1739.87	1743.56	1739.67	1741.67	3742	0	6
2022.07.11	06:00:00	1741.63	1743.11	1741.46	1742.55	1851	0	4
2022.07.11	07:00:00	1742.55	1742.75	1740.70	1742.38	1590	0	6
2022.07.11	08:00:00	1742.38	1742.45	1739.82	1740.41	2660	0	11
2022.07.11	09:00:00	1740.41	1741.17	1739.40	1739.44	3777	0	5
2022.07.11	10:00:00	1739.50	1740.74	1735.99	1736.72	4858	0	0
2022.07.11	11:00:00	1736.75	1739.14	1736.42	1737.97	4243	0	0
2022.07.11	12:00:00	1737.98	1739.90	1734.76	1735.16	3918	0	0
2022.07.11	13:00:00	1735.16	1737.16	1734.06	1736.16	3271	0	0
2022.07.11	14:00:00	1736.15	1738.09	1733.58	1734.89	3716	0	0
2022.07.11	15:00:00	1734.89	1737.89	1734.11	1736.88	6480	0	0
2022.07.11	16:00:00	1736.83	1742.68	1735.43	1741.26	10084	0	0
2022.07.11	17:00:00	1741.32	1741.61	1735.98	1740.42	8573	0	0
2022.07.11	18:00:00	1740.43	1741.07	1736.68	1738.07	5806	0	0
2022.07.11	19:00:00	1738.08	1738.23	1734.11	1735.07	3952	0	0
